Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
VPN
DNS
vivlim,viv lim
intellicode
IntelliCode,intellicode brand
azure
devops
github
pr,p r
JoinableTaskFactory,joinable task factory
100%,one hundred percent
C#,sea sharp
typescript,type script
javascript,java script
mef,meth
vim,v i m
vim
neovim,neo vim
repo
repos
diff
vsix,v s extension
servicehub,service hub
json,Jason format
out-of-proc,out of proc
onenote,one note
